Court,GAK,Year
ΠΡΩΤΟΔΙΚΕΙΟ ΑΘΗΝΩΝ,89986,2022
ΕΙΡΗΝΟΔΙΚΕΙΟ ΧΑΛΑΝΔΡΙΟΥ,633,2022
ΑΡΕΙΟΣ ΠΑΓΟΣ,18,2022
ΑΡΕΙΟΣ ΠΑΓΟΣ,1234,2020
ΑΡΕΙΟΣ ΠΑΓΟΣ,1235,2020
ΑΡΕΙΟΣ ΠΑΓΟΣ,1879,2017
ΑΡΕΙΟΣ ΠΑΓΟΣ,292,2020
ΑΡΕΙΟΣ ΠΑΓΟΣ,372,2021
ΑΡΕΙΟΣ ΠΑΓΟΣ,373,2021
ΑΡΕΙΟΣ ΠΑΓΟΣ,1206,2021
ΑΡΕΙΟΣ ΠΑΓΟΣ,1685,2021
ΑΡΕΙΟΣ ΠΑΓΟΣ,1684,2021
ΕΦΕΤΕΙΟ ΑΘΗΝΩΝ,7318,2019
ΕΦΕΤΕΙΟ ΑΘΗΝΩΝ,7494,2021
ΕΦΕΤΕΙΟ ΑΘΗΝΩΝ,5722,2019
ΕΦΕΤΕΙΟ ΑΘΗΝΩΝ,7975,2017
ΕΦΕΤΕΙΟ ΑΘΗΝΩΝ,2714,2021
ΕΦΕΤΕΙΟ ΑΘΗΝΩΝ,7889,2020
ΕΦΕΤΕΙΟ ΑΘΗΝΩΝ,2514,2021
ΕΦΕΤΕΙΟ ΑΘΗΝΩΝ,465,2021
ΕΦΕΤΕΙΟ ΑΘΗΝΩΝ,8072,2020
ΠΡΩΤΟΔΙΚΕΙΟ ΑΘΗΝΩΝ,5896,2020
ΠΡΩΤΟΔΙΚΕΙΟ ΑΘΗΝΩΝ,68101,2018
ΠΡΩΤΟΔΙΚΕΙΟ ΑΘΗΝΩΝ,115148,2019
ΠΡΩΤΟΔΙΚΕΙΟ ΑΘΗΝΩΝ,34359,2021
ΠΡΩΤΟΔΙΚΕΙΟ ΑΘΗΝΩΝ,27552,2021
ΠΡΩΤΟΔΙΚΕΙΟ ΑΘΗΝΩΝ,19797,2021
ΠΡΩΤΟΔΙΚΕΙΟ ΑΘΗΝΩΝ,73863,2019
ΠΡΩΤΟΔΙΚΕΙΟ ΑΘΗΝΩΝ,23718,2022
ΕΙΡΗΝΟΔΙΚΕΙΟ ΧΑΛΑΝΔΡΙΟΥ,5212,2018
ΕΙΡΗΝΟΔΙΚΕΙΟ ΧΑΛΑΝΔΡΙΟΥ,7394,2019